	Query_Name	Ref_Name	Position	Strand	Alignment_Score
21	CP038996.1_37294_1_1_0_0_0_0:1:0_0:0:0_15	CP038996.1	24	-	1.0
22	CP038996.1_681_1_1_0_0_0_0:1:0_0:0:0_16	CP038996.1	34	-	1.0
23	CP038996.1_32613_1_1_0_0_0_2:0:0_0:0:0_17	CP038996.1	22	-	2.0
24	CP038996.1_4885_1_1_0_0_0_2:1:0_0:0:0_18	CP038996.1	51	-	3.0
25	CP038996.1_12933_1_1_0_0_0_2:0:0_0:0:0_19	CP038996.1	4	-	2.0
26	CP038996.1_9665_1_0_1_0_0_0:0:0_0:0:0_1a	CP038996.1	17	+	0.0
27	CP038996.1_40189_1_1_0_0_0_0:0:0_0:0:0_1b	CP038996.1	6	-	0.0
28	CP038996.1_24270_1_0_1_0_0_1:0:0_0:0:0_1c	CP038996.1	7	+	1.0
29	CP038996.1_11105_1_1_0_0_0_0:1:0_0:0:0_1d	CP038996.1	5	-	1.0
30	CP038996.1_25771_1_0_1_0_0_3:2:0_0:0:0_1e	CP038996.1	18	+	5.0
31	CP038996.1_10090_1_1_0_0_0_0:0:3_0:0:0_1f	CP038996.1	9	-	4.0
32	CP038996.1_3143_1_0_1_0_0_1:1:0_0:0:0_20	CP038996.1	29	+	2.0
33	CP038996.1_28164_1_1_0_0_0_3:1:0_0:0:0_21	CP038996.1	61	-	4.0
34	rand_0_0_0_0_1_1_0:0:0_0:0:0_0		-1		inf
35	CP038996.1_27198_1_0_1_0_0_2:1:0_0:0:0_23	CP038996.1	19	+	3.0
36	CP038996.1_7658_1_0_1_0_0_0:2:0_0:0:0_24	CP038996.1	8	+	2.0
37	CP038996.1_49310_1_0_1_0_0_1:3:0_0:0:0_25	CP038996.1	20	+	4.0
38	CP038996.1_22356_1_1_0_0_0_3:0:0_0:0:0_26	CP038996.1	10	-	3.0
39	CP038996.1_19389_1_0_1_0_0_1:2:0_0:0:0_27	CP038996.1	79	+	3.0
40	CP038996.1_31028_1_1_0_0_0_1:1:0_0:0:0_28	CP038996.1	11	-	2.0
41	CP038996.1_20884_1_1_0_0_0_0:0:0_0:0:0_29	CP038996.1	12	-	0.0
42	CP038996.1_19171_1_0_1_0_0_1:0:1_0:0:0_2a	CP038996.1	24	+	3.0
43	CP038996.1_35576_1_0_1_0_0_2:0:0_0:0:0_2b	CP038996.1	20	+	2.0
44	CP038996.1_8036_1_0_1_0_0_2:2:0_0:0:0_2c	CP038996.1	50	+	4.0
45	CP038996.1_14971_1_0_1_0_0_4:0:0_0:0:0_2d	CP038996.1	24	+	4.0
46	CP038996.1_28176_1_0_1_0_0_2:1:0_0:0:0_2e	CP038996.1	7	+	3.0
47	CP038996.1_23569_1_0_1_0_0_1:2:0_0:0:0_2f	CP038996.1	36	+	3.0
48	CP038996.1_4484_1_0_1_0_0_2:2:0_0:0:0_30	CP038996.1	11	+	4.0
49	CP038996.1_27497_1_0_1_0_0_1:2:0_0:0:0_31	CP038996.1	14	+	2.0
50	CP038996.1_24615_1_1_0_0_0_0:1:0_0:0:0_32	CP038996.1	19	-	1.0
51	CP038996.1_45161_1_1_0_0_0_1:0:1_0:0:0_33	CP038996.1	11	-	3.0
52	CP038996.1_29766_1_1_0_0_0_1:0:0_0:0:0_34	CP038996.1	34	-	1.0
53	CP038996.1_41240_1_1_0_0_0_0:0:2_0:0:0_35	CP038996.1	5	-	4.0
54	CP038996.1_31913_1_0_1_0_0_0:2:0_0:0:0_36	CP038996.1	8	+	2.0
55	CP038996.1_14526_1_0_1_0_0_1:1:0_0:0:0_37	CP038996.1	7	+	2.0
56	CP038996.1_2453_1_0_1_0_0_0:1:0_0:0:0_38	CP038996.1	5	+	1.0
57	CP038996.1_46047_1_0_1_0_0_2:0:0_0:0:0_39	CP038996.1	7	+	2.0
58	CP038996.1_24211_1_0_1_0_0_2:0:0_0:0:0_3a	CP038996.1	3	+	2.0
59	CP038996.1_5794_1_0_1_0_0_3:0:0_0:0:0_3b	CP038996.1	45	+	3.0
60	CP038996.1_27317_1_0_1_0_0_2:2:0_0:0:0_3c	CP038996.1	5	+	4.0
61	CP038996.1_5039_1_1_0_0_0_0:1:0_0:0:0_3d	CP038996.1	2	-	1.0
62	CP038996.1_13990_1_1_0_0_0_0:3:0_0:0:0_3e	CP038996.1	18	-	3.0
63	CP038996.1_22352_1_1_0_0_0_3:0:0_0:0:0_3f	CP038996.1	35	-	3.0
64	CP038996.1_6552_1_0_1_0_0_2:1:0_0:0:0_40	CP038996.1	1	+	3.0
65	CP038996.1_18554_1_1_0_0_0_0:1:0_0:0:0_41	CP038996.1	11	-	1.0
66	CP038996.1_2389_1_1_0_0_0_2:2:0_0:0:0_42	CP038996.1	6	-	4.0
67	CP038996.1_34151_1_0_1_0_0_2:0:0_0:0:0_43	CP038996.1	17	+	2.0
68	CP038996.1_45603_1_0_1_0_0_2:0:0_0:0:0_44	CP038996.1	10	+	2.0
69	CP038996.1_48188_1_1_0_0_0_2:1:0_0:0:0_45	CP038996.1	29	-	3.0
70	CP038996.1_6068_1_1_0_0_0_1:0:0_0:0:0_46	CP038996.1	2	-	1.0
71	CP038996.1_9785_1_0_1_0_0_0:1:0_0:0:0_47	CP038996.1	2	+	1.0
72	CP038996.1_43113_1_1_0_0_0_4:0:0_0:0:0_48	CP038996.1	1	-	4.0
73	CP038996.1_10750_1_1_0_0_0_1:0:0_0:0:0_49	CP038996.1	3	-	1.0
74	CP038996.1_24_1_0_1_0_0_1:1:0_0:0:0_4a	CP038996.1	19	+	2.0
75	CP038996.1_5795_1_0_1_0_0_2:1:0_0:0:0_4b	CP038996.1	2	+	3.0
76	CP038996.1_6832_1_1_0_0_0_0:0:0_0:0:0_4c	CP038996.1	15	-	0.0
77	CP038996.1_2359_1_0_1_0_0_3:0:0_0:0:0_4d	CP038996.1	36	+	3.0
78	CP038996.1_30230_1_0_1_0_0_0:0:0_0:0:0_4e	CP038996.1	11	+	0.0
79	CP038996.1_39629_1_1_0_0_0_2:1:0_0:0:0_4f	CP038996.1	41	-	3.0
80	CP038996.1_4513_1_1_0_0_0_0:2:0_0:0:0_50	CP038996.1	3	-	2.0
81	CP038996.1_11920_1_0_1_0_0_1:1:0_0:0:0_51	CP038996.1	9	+	2.0
82	CP038996.1_30082_1_1_0_0_0_2:2:0_0:0:0_52	CP038996.1	12	-	4.0
83	CP038996.1_47150_1_0_1_0_0_2:4:0_0:0:0_53	CP038996.1	38	+	6.0
84	CP038996.1_21529_1_1_0_0_0_2:0:0_0:0:0_54	CP038996.1	18	-	2.0
85	CP038996.1_37273_1_0_1_0_0_2:2:0_0:0:0_55	CP038996.1	45	+	4.0
86	CP038996.1_21062_1_1_0_0_0_3:0:0_0:0:0_56	CP038996.1	23	-	3.0
87	CP038996.1_12094_1_1_0_0_0_2:2:0_0:0:0_57	CP038996.1	3	-	4.0
88	CP038996.1_5268_1_1_0_0_0_2:0:0_0:0:0_58	CP038996.1	4	-	2.0
89	CP038996.1_5407_1_1_0_0_0_0:0:0_0:0:0_59	CP038996.1	12	-	0.0
90	rand_0_0_0_0_1_1_0:0:0_0:0:0_1		-1		inf
91	CP038996.1_18789_1_1_0_0_0_0:0:0_0:0:0_5b	CP038996.1	7	-	0.0
92	CP038996.1_1451_1_1_0_0_0_2:0:0_0:0:0_5c	CP038996.1	20	-	2.0
93	CP038996.1_1829_1_0_1_0_0_1:1:0_0:0:0_5d	CP038996.1	20	+	2.0
94	CP038996.1_16333_1_0_1_0_0_0:1:0_0:0:0_5e	CP038996.1	6	+	1.0
95	CP038996.1_25002_1_1_0_0_0_0:3:0_0:0:0_5f	CP038996.1	10	-	3.0
96	CP038996.1_36360_1_0_1_0_0_2:0:0_0:0:0_60	CP038996.1	13	+	2.0
97	CP038996.1_43022_1_1_0_0_0_3:0:0_0:0:0_61	CP038996.1	29	-	3.0
98	CP038996.1_24483_1_0_1_0_0_1:1:0_0:0:0_62	CP038996.1	4	+	2.0
99	rand_0_0_0_0_1_1_0:0:0_0:0:0_2		-1		inf
